+-------------------------------------------------------------------------------------+--------------------------------------+------------------------------------+--------+------------------+
|                                       MODULE                                        |               VERSION                |            NEW VERSION             | DIRECT | VALID TIMESTAMPS |
| github.com/cockroachdb/crlib                                                        | v0.0.0-20251122031428-fe658a2dbda1   |                                    | false  | true             |
| github.com/cockroachdb/datadriven                                                   | v1.0.3-0.20251123150250-ddff6747b112 |                                    | false  | true             |
| github.com/cockroachdb/errors                                                       | v1.14.0                              |                                    | false  | true             |
| github.com/cockroachdb/logtags                                                      | v0.0.0-20241215232642-bb51bb14a506   |                                    | false  | true             |
| github.com/cockroachdb/metamorphic                                                  | v0.0.0-20231120015718-884f2746775a   |                                    | false  | true             |
| github.com/cockroachdb/pebble                                                       | v0.0.0-20260707124150-8fb150d9135d   |                                    | true   | true             |
| github.com/cockroachdb/redact                                                       | v1.1.8                               |                                    | false  | true             |
| github.com/cockroachdb/swiss                                                        | v0.0.0-20251224182025-b0f6560f979b   |                                    | false  | true             |
| github.com/cockroachdb/tokenbucket                                                  | v0.0.0-20250429170803-42689b6311bb   |                                    | false  | true             |
| github.com/cpuguy83/go-md2man/v2                                                    | v2.0.7                               |                                    | false  | true             |
| github.com/creack/pty                                                               | v1.1.9                               | v1.1.24                            | false  | true             |
| github.com/curioswitch/go-reassign                                                  | v0.3.0                               |                                    | false  | true             |
| github.com/daixiang0/gci                                                            | v0.13.7                              | v0.14.0                            | false  | true             |
| github.com/dave/dst                                                                 | v0.27.3                              | v0.27.4                            | false  | true             |
| github.com/davecgh/go-spew                                                          | v1.1.2-0.20180830191138-d8f796af33cc |                                    | false  | true             |
| github.com/denis-tingaikin/go-header                                                | v0.5.0                               |                                    | false  | true             |
| github.com/dlclark/regexp2                                                          | v1.12.0                              |                                    | false  | true             |
| github.com/dustin/go-humanize                                                       | v1.0.1                               |                                    | true   | true             |
| github.com/efficientgo/core                                                         | v1.0.0-rc.3                          |                                    | false  | true             |
| github.com/efficientgo/e2e                                                          | v0.14.0                              |                                    | false  | true             |
| github.com/envoyproxy/go-control-plane                                              | v0.14.0                              |                                    | false  | true             |
| github.com/envoyproxy/go-control-plane/envoy                                        | v1.37.0                              |                                    | false  | true             |
